time score1 score2
0.5 0.899 1
1 0.869 0.997
1.5 0.908 0.994
2 0.874 0.744
2.5 0.911 0.921
3 0.713 0.9
3.5 0.867 0.733
4 0.951 0.966
4.5 0.771 0.943
5 0.784 0.843
5.5 0.764 0.911
6 0.697 0.745
6.5 0.85 0.734
7 0.829 0.721
7.5 0.742 0.759
8 0.475 0.78
8.5 0.812 0.562
9 0.489 0.792
9.5 0.527 0.222
10 0.667 0.46
10.5 0.57 0.456
11 0.6 0.283
11.5 0.394 0.311
12 0.499 0.689
12.5 0.548 0.2
13 0.34 0.187
13.5 0.452 0.305
14 0.345 0.118
14.5 0.284 0.336
15 0.329 0.061
15.5 0.246 0
16 0.104 0.072
16.5 0.22 0.004
17 0.274 0.01
17.5 0.066 0.031
18 0.05 0.096
18.5 0.183 0.06
19 0.044 0.001
19.5 0.069 0
20 0.135 0.239
20.5 0.099 0.001
21 0.055 0
21.5 0.12 0
22 0.014 0
22.5 0.019 0.001
23 0.025 0.003
23.5 0.071 0.004
24 0.024 0.001
24.5 0 0
25 0.002 0
