"season" "day" "Rsoil" "Tsoil"
"JFM" 81 0.0119 -0.2
"JFM" 81 0.0938 -0.3
"JFM" 81 -0.0467 -0.3
"JFM" 81 0.0201 -0.5
"JFM" 81 0.0894 0
"JFM" 81 0.0379 -0.6
"JFM" 81 0.0284 -0.1
"JFM" 81 0.0644 -0.1
"JFM" 81 0.0178 -0.2
"JFM" 81 0.0022 -0.2
"JFM" 81 0.0448 0
"JFM" 81 0.1149 -0.2
"JFM" 81 0.0275 -0.3
"JFM" 81 0.0305 -0.3
"JFM" 81 0.0132 -0.6
"JFM" 81 4e-04 -0.2
"JFM" 81 0.0199 -0.2
"JFM" 81 0.015 -0.3
"JFM" 81 -0.0269 0.1
"JFM" 81 0.0361 0.1
"AMJ" 113 2.9044 13.1
"AMJ" 113 2.5627 14.6
"AMJ" 113 1.7316 13.8
"AMJ" 113 0.9726 12.7
"AMJ" 113 4.1849 12.3
"AMJ" 113 1.839 12.5
"AMJ" 113 1.3818 17.2
"AMJ" 113 3.3032 15.8
"AMJ" 113 3.0215 15.7
"AMJ" 113 3.9932 16
"AMJ" 113 1.3916 18.7
"AMJ" 113 3.7591 18.4
"AMJ" 113 3.6964 14.8
"AMJ" 113 2.4956 13.1
"AMJ" 113 1.695 14.9
"AMJ" 113 2.024 13.3
"AMJ" 113 2.4923 15.7
"AMJ" 113 2.9919 15
"AMJ" 113 2.44 16.2
"AMJ" 141 1.5522 14.1
"AMJ" 141 2.6093 14.9
"AMJ" 141 2.8752 14.6
"AMJ" 141 2.1958 11.2
"AMJ" 141 2.6838 11.2
"AMJ" 141 1.7728 16.5
"AMJ" 141 2.2724 14.5
"AMJ" 141 3.402 13.3
"AMJ" 141 2.7848 14.1
"AMJ" 141 4.6541 12
"AMJ" 141 2.1489 13.2
"AMJ" 141 2.4901 15.5
"AMJ" 141 5.0006 16.5
"AMJ" 141 1.5011 10.8
"AMJ" 141 1.5248 17.7
"AMJ" 141 1.7275 16.2
