"store" "date" "y" "x"
1009 2005-10-03 0 0.63
1009 2005-10-04 0 0.63
1009 2005-10-05 3 0.63
1009 2005-10-06 5 0.63
1009 2005-10-07 2 0.63
1009 2005-10-08 0 0.63
1009 2005-10-09 0 0.63
1009 2005-10-10 4 0.63
1009 2005-10-11 0 0.63
1009 2005-10-12 3 0.63
1009 2005-10-13 3 0.63
1009 2005-10-14 3 0.63
1009 2005-10-15 5 0.63
1009 2005-10-16 4 0.63
1009 2005-10-17 2 0.63
1009 2005-10-18 0 0.63
1009 2005-10-19 4 0.63
1009 2005-10-20 2 0.63
1009 2005-10-21 0 0.63
1009 2005-10-22 1 0.63
1009 2005-10-23 5 0.63
1009 2005-10-24 0 0.63
1009 2005-10-25 0 0.63
1009 2005-10-26 45 0.4
1009 2005-10-27 36 0.4
1009 2005-10-28 11 0.4
1009 2005-10-29 24 0.4
1009 2005-10-30 20 0.4
1009 2005-10-31 2 0.4
1009 2005-11-01 32 0.4
1009 2005-11-02 4 0.63
1009 2005-11-03 0 0.63
1009 2005-11-04 0 0.63
1009 2005-11-05 2 0.63
1009 2005-11-06 4 0.63
1009 2005-11-07 4 0.63
1009 2005-11-08 5 0.63
1009 2005-11-09 0 0.63
1009 2005-11-10 4 0.63
1009 2005-11-11 0 0.63
1009 2005-11-12 0 0.63
1009 2005-11-13 4 0.63
1009 2005-11-14 1 0.63
1009 2005-11-15 0 0.63
1009 2005-11-16 2 0.63
1009 2005-11-17 0 0.63
1009 2005-11-18 3 0.63
1009 2005-11-19 0 0.63
1009 2005-11-20 2 0.63
1009 2005-11-21 5 0.63
1009 2005-11-22 0 0.63
1009 2005-11-23 7 0.63
1009 2005-11-24 0 0.63
1009 2005-11-25 3 0.63
1009 2005-11-26 0 0.63
1009 2005-11-28 1 0.63
1009 2005-11-29 6 0.63
1009 2005-11-30 2 0.63
1009 2005-12-01 4 0.63
1009 2005-12-02 8 0.63
1009 2005-12-03 2 0.63
1009 2005-12-04 0 0.63
1009 2005-12-05 0 0.63
1009 2005-12-06 4 0.63
1009 2005-12-07 3 0.63
1009 2005-12-08 8 0.63
1009 2005-12-09 0 0.63
1009 2005-12-10 0 0.63
1009 2005-12-11 2 0.63
1009 2005-12-12 0 0.63
1009 2005-12-13 5 0.63
1009 2005-12-14 24 0.4
1009 2005-12-15 17 0.4
1009 2005-12-16 33 0.4
1009 2005-12-17 8 0.4
1009 2005-12-18 21 0.4
1009 2005-12-19 15 0.4
1009 2005-12-20 3 0.4
1009 2005-12-21 20 0.4
1009 2005-12-22 11 0.4
1009 2005-12-23 50 0.4
1009 2005-12-24 21 0.4
1009 2005-12-26 4 0.4
1009 2005-12-27 9 0.4
1009 2005-12-28 0 0.63
1009 2005-12-29 4 0.63
1009 2005-12-30 5 0.63
1009 2005-12-31 0 0.63
1009 2006-01-01 3 0.63
1009 2006-01-03 3 0.63
1009 2006-01-04 6 0.63
1009 2006-01-05 14 0.63
1009 2006-01-06 0 0.63
1009 2006-01-07 12 0.63
1009 2006-01-08 0 0.63
1009 2006-01-09 3 0.63
1009 2006-01-10 6 0.63
1009 2006-01-11 1 0.63
1009 2006-01-12 1 0.63
1009 2006-01-13 17 0.63
1009 2006-01-14 2 0.63
1009 2006-01-15 8 0.63
1009 2006-01-16 2 0.63
1009 2006-01-17 4 0.63
1009 2006-01-18 4 0.63
1009 2006-01-19 6 0.63
1009 2006-01-20 1 0.63
1009 2006-01-21 0 0.63
1009 2006-01-22 3 0.63
1009 2006-01-23 4 0.63
1009 2006-01-24 2 0.63
1009 2006-01-25 1 0.63
1009 2006-01-26 5 0.63
1009 2006-01-27 3 0.63
1009 2006-01-28 0 0.63
1009 2006-01-29 0 0.63
1009 2006-01-30 4 0.63
1009 2006-01-31 8 0.63
1009 2006-02-01 4 0.63
1009 2006-02-02 5 0.63
1009 2006-02-03 7 0.63
1009 2006-02-04 10 0.63
1009 2006-02-05 2 0.63
1009 2006-02-07 13 0.63
1009 2006-02-08 4 0.63
1009 2006-02-09 9 0.63
1009 2006-02-10 2 0.63
1009 2006-02-11 14 0.63
1009 2006-02-12 0 0.63
1009 2006-02-13 12 0.63
1009 2006-02-14 5 0.63
1009 2006-02-15 44 0.4
1009 2006-02-16 21 0.4
1009 2006-02-17 45 0.4
1009 2006-02-18 66 0.4
1009 2006-02-19 49 0.4
1009 2006-02-20 39 0.4
1009 2006-02-21 45 0.4
1009 2006-02-22 1 0.63
1009 2006-02-23 2 0.63
1009 2006-02-24 1 0.63
1009 2006-02-25 4 0.63
1009 2006-02-26 6 0.63
1009 2006-02-27 5 0.63
1009 2006-02-28 0 0.63
1009 2006-03-01 2 0.63
1009 2006-03-02 7 0.63
1009 2006-03-03 8 0.63
1009 2006-03-04 0 0.63
1009 2006-03-05 1 0.63
1009 2006-03-06 0 0.63
1009 2006-03-07 2 0.63
1009 2006-03-08 0 0.63
1009 2006-03-09 0 0.63
1009 2006-03-10 8 0.63
1009 2006-03-11 2 0.63
1009 2006-03-12 8 0.63
1009 2006-03-13 5 0.63
1009 2006-03-14 2 0.63
1009 2006-03-15 2 0.63
1009 2006-03-16 2 0.63
1009 2006-03-17 4 0.63
1009 2006-03-18 5 0.63
1009 2006-03-19 8 0.63
1009 2006-03-20 5 0.63
1009 2006-03-21 0 0.63
1009 2006-03-22 2 0.63
1009 2006-03-23 4 0.63
1009 2006-03-24 5 0.63
1009 2006-03-25 1 0.63
1009 2006-03-26 5 0.63
1009 2006-03-27 10 0.63
1009 2006-03-28 0 0.63
1009 2006-03-29 29 0.4
1009 2006-03-30 28 0.4
1009 2006-03-31 63 0.4
1009 2006-04-01 100 0.4
1009 2006-04-02 20 0.4
1009 2006-04-03 6 0.4
1009 2006-04-04 26 0.4
1009 2006-04-05 0 0.63
1009 2006-04-06 2 0.63
1009 2006-04-07 5 0.63
1009 2006-04-08 2 0.63
1009 2006-04-09 3 0.63
1009 2006-04-10 2 0.63
1009 2006-04-11 4 0.63
1009 2006-04-12 0 0.63
1009 2006-04-13 1 0.63
1009 2006-04-14 2 0.63
1009 2006-04-15 7 0.63
1009 2006-04-16 0 0.63
1009 2006-04-17 5 0.63
1009 2006-04-18 2 0.63
1009 2006-04-19 5 0.63
1009 2006-04-20 2 0.63
1009 2006-04-21 0 0.63
1009 2006-04-22 1 0.63
1009 2006-04-23 1 0.63
1009 2006-04-24 4 0.63
1009 2006-04-25 2 0.63
1009 2006-04-26 24 0.4
1009 2006-04-27 7 0.4
1009 2006-04-28 69 0.4
1009 2006-04-29 35 0.4
1009 2006-04-30 33 0.4
1009 2006-05-01 33 0.4
1009 2006-05-02 19 0.4
1009 2006-05-04 1 0.63
1009 2006-05-05 6 0.63
1009 2006-05-06 0 0.63
1009 2006-05-07 7 0.63
1009 2006-05-08 5 0.63
1009 2006-05-09 5 0.63
1009 2006-05-10 1 0.63
1009 2006-05-11 1 0.63
1009 2006-05-12 0 0.63
1009 2006-05-13 0 0.63
1009 2006-05-14 2 0.63
1009 2006-05-15 2 0.63
1009 2006-05-16 3 0.63
1009 2006-05-17 8 0.4
1009 2006-05-18 41 0.4
1009 2006-05-19 42 0.4
1009 2006-05-20 18 0.4
1009 2006-05-21 40 0.4
1009 2006-05-22 12 0.4
1009 2006-05-23 22 0.4
1009 2006-05-24 0 0.63
1009 2006-05-25 1 0.63
1009 2006-05-26 0 0.63
1009 2006-05-27 0 0.63
1009 2006-05-28 0 0.63
1009 2006-05-29 5 0.63
1009 2006-05-30 0 0.63
1009 2006-05-31 2 0.63
1009 2006-06-01 3 0.63
1009 2006-06-02 0 0.63
1009 2006-06-03 6 0.63
1009 2006-06-04 0 0.63
1009 2006-06-05 2 0.63
1009 2006-06-06 4 0.63
1009 2006-06-07 2 0.63
1009 2006-06-08 0 0.63
1009 2006-06-09 6 0.63
1009 2006-06-10 1 0.63
1009 2006-06-11 3 0.63
1009 2006-06-12 0 0.63
1009 2006-06-13 3 0.63
1009 2006-06-14 8 0.44
1009 2006-06-15 28 0.44
1009 2006-06-16 24 0.44
1009 2006-06-17 24 0.44
1009 2006-06-18 12 0.44
1009 2006-06-19 16 0.44
1009 2006-06-20 25 0.44
1009 2006-06-21 1 0.63
1009 2006-06-22 6 0.63
1009 2006-06-23 2 0.63
1009 2006-06-24 4 0.63
1009 2006-06-25 2 0.63
1009 2006-06-26 8 0.63
1009 2006-06-27 2 0.63
1009 2006-06-28 2 0.63
1009 2006-06-29 0 0.63
1009 2006-06-30 3 0.63
1009 2006-07-01 2 0.63
1009 2006-07-02 2 0.63
1009 2006-07-03 4 0.63
1009 2006-07-04 0 0.63
1009 2006-07-05 4 0.63
1009 2006-07-06 42 0.4
1009 2006-07-07 60 0.4
1009 2006-07-08 73 0.4
1009 2006-07-09 9 0.63
1009 2006-07-10 5 0.63
1009 2006-07-11 2 0.63
1009 2006-07-13 5 0.63
1009 2006-07-14 1 0.63
1009 2006-07-15 5 0.63
1009 2006-07-16 6 0.63
1009 2006-07-17 2 0.63
1009 2006-07-18 2 0.63
1009 2006-07-19 2 0.63
1009 2006-07-20 3 0.63
1009 2006-07-21 7 0.63
1009 2006-07-22 2 0.63
1009 2006-07-23 1 0.63
1009 2006-07-24 3 0.63
1009 2006-07-25 0 0.63
1009 2006-07-26 0 0.63
1009 2006-07-27 2 0.63
1009 2006-07-28 5 0.63
1009 2006-07-29 3 0.63
1009 2006-07-30 0 0.63
1009 2006-07-31 2 0.63
1009 2006-08-01 0 0.63
1009 2006-08-02 1 0.63
1009 2006-08-03 4 0.63
1009 2006-08-04 4 0.63
1009 2006-08-05 5 0.63
1009 2006-08-06 2 0.63
1009 2006-08-07 4 0.63
1009 2006-08-08 5 0.63
1009 2006-08-09 0 0.63
1009 2006-08-10 3 0.63
1009 2006-08-11 1 0.63
1009 2006-08-12 2 0.63
1009 2006-08-13 0 0.63
1009 2006-08-14 7 0.63
1009 2006-08-15 1 0.63
1009 2006-08-16 0 0.63
1009 2006-08-17 3 0.63
1009 2006-08-18 12 0.63
1009 2006-08-19 5 0.63
1009 2006-08-20 2 0.63
1009 2006-08-22 1 0.63
1009 2006-08-23 2 0.63
1009 2006-08-24 12 0.63
1009 2006-08-25 0 0.63
1009 2006-08-26 3 0.63
1009 2006-08-27 10 0.63
1009 2006-08-28 0 0.63
1009 2006-08-29 2 0.63
1009 2006-08-30 3 0.63
1009 2006-08-31 6 0.63
1009 2006-09-01 4 0.63
1009 2006-09-02 1 0.63
1009 2006-09-03 1 0.63
1009 2006-09-04 0 0.63
1009 2006-09-05 1 0.63
1009 2006-09-06 2 0.63
1009 2006-09-07 0 0.63
1009 2006-09-08 4 0.63
1009 2006-09-09 2 0.63
1009 2006-09-10 4 0.63
1009 2006-09-11 9 0.63
1009 2006-09-12 9 0.63
1009 2006-09-13 3 0.63
1009 2006-09-14 6 0.63
1009 2006-09-15 3 0.63
1009 2006-09-16 0 0.63
1009 2006-09-17 0 0.63
1009 2006-09-18 0 0.63
1009 2006-09-19 5 0.63
1009 2006-09-20 0 0.63
1009 2006-09-21 2 0.63
1009 2006-09-22 8 0.63
1009 2006-09-23 1 0.63
1009 2006-09-24 2 0.63
1009 2006-09-25 8 0.63
1009 2006-09-26 0 0.63
1009 2006-09-27 0 0.63
1009 2006-09-28 3 0.63
1009 2006-09-29 2 0.63
1009 2006-09-30 0 0.63
1009 2006-10-01 3 0.63
1009 2006-10-02 2 0.63
1009 2006-10-03 0 0.63
1009 2006-10-04 7 0.38
1009 2006-10-06 26 0.38
1009 2006-10-07 38 0.38
1009 2006-10-08 28 0.38
1009 2006-10-09 29 0.38
1009 2006-10-10 30 0.38
1009 2006-10-11 44 0.38
1009 2006-10-12 13 0.38
1009 2006-10-13 24 0.38
1009 2006-10-14 0 0.38
1009 2006-10-15 0 0.38
1009 2006-10-16 7 0.38
1009 2006-10-17 17 0.38
1009 2006-10-18 2 0.63
1009 2006-10-19 0 0.63
1009 2006-10-20 7 0.63
1009 2006-10-21 2 0.63
1009 2006-10-22 3 0.63
